English;中文
What happened to you?;你怎么了?;nǐ zen me le?
Are you ok?;你还好吗;nǐ hái hǎo ma?
nothing,ok ;没事;méi shì
kidding;开玩笑;kaī wán xiào
getting angry;生气;shēng qì
Don't be angry;别生气;bié shēng qì.
Don't be angry;不要生气;bú yào shēng qì.
heart broken;伤心;shāng xīn
being sad;难过;nán guò
on purpose;故意;gù yì
I did not mean it.;我不是故意的;wǒ bú shì gù yì de.
lazy;懒;lǎn
boring;无聊;wú liáo
I feel very boring.;我好无聊;wǒ hǎo wú liáo.
You are boring.;你好无聊;nǐ hǎo wú liáo.
ski;滑雪;huá xuě
skating;滑冰;huá bīng
snow;雪;xuě
ice;冰;bīng
full of fun;好玩;hǎo wán
hate;讨厌;tǎo yàn
I hate driving car.;我讨厌开车;wǒ tǎo yàn kaī chē.
I love driving car.;我爱车;wǒ aì kaī chē.
car;车;chē
driving car;开车;kaī chē
fast;快;kuài
slow;慢;màn
Drive fast!;开快点;kaī kuài diǎn!
too;也;yě
know;知道;zhī daò
cold;冷;lěng
warm;热;rè
Are you cold?;你冷吗?;nǐ lěng ma?
birthday;生日;shēng rì
happy;快乐;kuài lè
happy;开心;kaī xīn
Happy Birthday!;生日快乐;shēng rì kuài lè!
very;很;hěn
tall;高;gāo
short;矮;ǎi
long;长;cháng
short;短;duǎn
fat;胖;pàng
thin, slim;瘦;shòu
slim;miáo tiáo(苗条)
laugh;笑;xiào
cry;哭;kū
eat;吃;chī
